"Date and Time,""Merchant ID"",""Merchant Name"",""Transaction Type"",""Payment Channel"",""Ayolinx Transaction ID"",""Partner Refference Number"",""Transaction Amount"",""Admin Fee"",""VAT Type"",VAT(11%),""Transaction Settled"",""Transaction Status"",""Settlement Status"",""Merchant Transaction ID"",""Merchant Refference Number"",""Shop ID"",""Settlement Type"",""Create Time"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",adfc86db89d9498cab3b21f4a94d057a,010000HY00M9,1000000.00000000,6306.30000000,Include,693.700000,993000,Success,Settled,PAYIN45443411645733685344770391,SgtkfcemWdrh4byAVHwXF5NYxiTRpjvPQ28GoEuzL96J7KqnaUBMD4WQMZu9vnL3,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c8916f2852b648388902019dfee2dc7e,1p84b0688500,27000.00000000,170.30000000,Include,18.700000,26811,Success,Settled,PAYIN45443422946446954085452718,EoB2fDutJCakPq5ixwSQ9hFdseny7WrXHRYzKvT8mA6VjZcLM4g3G4WQMZuALSrV,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c894543f60b94018bb8bcd00f20f34d9,1p84b0997103,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443431356026480924304254,PUmfbKtMB5NWoVD6R3q4ySkcAaHevCpdT8s2GYu7ZhxLQwnFEi9rz4WQMZuB8k8e,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",9c784b6d7e84439a9acbfc18cb6a311c,1p84b0688497,30000.00000000,189.20000000,Include,20.800000,29790,Success,Settled,PAYIN45443417641491254624002213,sBtRTDnrF4qLaz6Z5dcHgeUiVGkKhxXjyWPSApMJYCw8buQo3f27v4WQMZuAj7Hr,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",77aa01517a3e4ae8b16ea33f1fb28570,019319546687,55000.00000000,346.80000000,Include,38.200000,54615,Success,Settled,PAYIN45443430963439628763560958,6BRPTDWexUKd4EZMsHYrLJmcQNkvgViupfGtnS2yw9j7FCXz5bq3a4WQMZuBXPFY,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",40a0fe530e8843668553542689c8db27,019749167357,30000.00000000,189.20000000,Include,20.800000,29790,Success,Settled,PAYIN45443433536225693630805161,tiYyux3NQr2RdK6VF8aPg7qoEnvMCXjZUJ4bspkWA5emGDBHSLhTc4WQMZuDWcyt,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",fa7fc8a823c0479b831a298554ced319,1p84b0x07896,20000.00000000,126.10000000,Include,13.900000,19860,Success,Settled,PAYIN45443424786907556885589887,aFj2DYo3EQWsrVmJP4S8xhTdMBvGHteqnygkCcpbw6ZLzAKR9Ui7X4WQMZuD7ywu,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",5155338f4dcb4e5096e154c1dc9fab9e,1p84b0i79238,38000.00000000,239.60000000,Include,26.400000,37734,Success,Settled,PAYIN45443428410786203227231751,eaFQyKtUsEuP8cT4nhjwxGMpkdS5VfqL2NrBAzRZoiC37WDHvX6gb4WQMZuD7yjn,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:01,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",f1613763361f449091e1db54bd875c7b,1p84b0v18430,93300.00000000,588.40000000,Include,64.700000,92646.9,Success,Settled,PAYIN45443423051723985593838717,xWcmorLED8UBjhM2qnQKwd6YXRSCGtuyai3TAJeHV7bNP5gpf49sF4WQMZuEJunv,,Sameday,""2026-06-08 00:00:01"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",8cd7568f457c45f1ae264132a86567b3,1p84b0688498,54000.00000000,340.50000000,Include,37.500000,53622,Success,Settled,PAYIN45443411570236214231562441,KM4U78c6jruxnGyofhWd9DpweNViHSXBJ5mYvzkTbQsCERgtZA2FP4WQMZuF7Du9,,Sameday,""2026-06-08 00:00:01"""
